Instance,Opt Gap,Time(s)
inst_700commods_6_3.txt,0.006899579,2.8262327
inst_700commods_6_4.txt,0.009467387,3.280105
inst_700commods_6_5.txt,0.00177879,1.1430221
inst_750commods_12_1.txt,0.005387378,0.9848245
inst_750commods_12_2.txt,0.005165066,3.1892445
inst_750commods_12_3.txt,0.005995464,1.736398
inst_750commods_12_4.txt,0.004412021,3.1024234
inst_750commods_12_5.txt,0.007647148,1.1937642
inst_750commods_18_1.txt,0.005054447,1.0164801
inst_750commods_18_2.txt,0.006062522,3.0289496
inst_750commods_18_3.txt,0.008724578,1.3112824
inst_750commods_18_4.txt,0.004007506,3.1749835
inst_750commods_18_5.txt,0.008738913,3.157126
inst_750commods_24_1.txt,0.008072266,28.8499158
inst_750commods_24_2.txt,0.00793352,104.8783587
inst_750commods_24_3.txt,0.009067888,72.5960411
inst_750commods_24_4.txt,0.009722144,108.5905719
inst_750commods_24_5.txt,0.009982363,147.7970262
inst_750commods_30_1.txt,0.008627139,52.5437804
inst_750commods_30_2.txt,0.009778017,58.593435
inst_750commods_30_3.txt,0.006971651,318.9224805
inst_750commods_30_4.txt,0.00977112,59.3477442
inst_750commods_30_5.txt,0.008862596,77.2791647
inst_750commods_36_1.txt,0.008263459,42.5151087
inst_750commods_36_2.txt,0.00946658,56.9455237
inst_750commods_36_3.txt,0.005752788,47.189538
inst_750commods_36_4.txt,0.009014969,204.1837395
inst_750commods_36_5.txt,0.006610177,29.8293497
inst_750commods_42_1.txt,0.009693282,170.5567108
inst_750commods_42_2.txt,0.005885993,92.4396545
inst_750commods_42_3.txt,0.008980215,636.3031845
inst_750commods_42_4.txt,0.008296549,61.647907
